DATE,MRTSSM4413USN
1992-01-01,3023
1992-02-01,3014
1992-03-01,3452
1992-04-01,3535
1992-05-01,3577
1992-06-01,3722
1992-07-01,3737
1992-08-01,3627
1992-09-01,3546
1992-10-01,3791
1992-11-01,3452
1992-12-01,3447
1993-01-01,3146
1993-02-01,3174
1993-03-01,3617
1993-04-01,3801
1993-05-01,3795
1993-06-01,3955
1993-07-01,4055
1993-08-01,4063
1993-09-01,3896
1993-10-01,3933
1993-11-01,3776
1993-12-01,3599
1994-01-01,3470
1994-02-01,3524
1994-03-01,4194
1994-04-01,4162
1994-05-01,4138
1994-06-01,4334
1994-07-01,4262
1994-08-01,4564
1994-09-01,4164
1994-10-01,4265
1994-11-01,4168
1994-12-01,3995
1995-01-01,3755
1995-02-01,3634
1995-03-01,4333
1995-04-01,4231
1995-05-01,4511
1995-06-01,4626
1995-07-01,4424
1995-08-01,4863
1995-09-01,4357
1995-10-01,4563
1995-11-01,4506
1995-12-01,4100
1996-01-01,4085
1996-02-01,4183
1996-03-01,4480
1996-04-01,4692
1996-05-01,4881
1996-06-01,4723
1996-07-01,4965
1996-08-01,4971
1996-09-01,4497
1996-10-01,5073
1996-11-01,4596
1996-12-01,4418
1997-01-01,4390
1997-02-01,4216
1997-03-01,4787
1997-04-01,4997
1997-05-01,5034
1997-06-01,5042
1997-07-01,5307
1997-08-01,5209
1997-09-01,5009
1997-10-01,5230
1997-11-01,4746
1997-12-01,4577
1998-01-01,4478
1998-02-01,4354
1998-03-01,5028
1998-04-01,5094
1998-05-01,5141
1998-06-01,5280
1998-07-01,5364
1998-08-01,5225
1998-09-01,5075
1998-10-01,5316
1998-11-01,4769
1998-12-01,4875
1999-01-01,4488
1999-02-01,4527
1999-03-01,5240
1999-04-01,5341
1999-05-01,5248
1999-06-01,5542
1999-07-01,5522
1999-08-01,5510
1999-09-01,5438
1999-10-01,5397
1999-11-01,5287
1999-12-01,5109
2000-01-01,4691
2000-02-01,4877
2000-03-01,5611
2000-04-01,5152
2000-05-01,5601
2000-06-01,5706
2000-07-01,5345
2000-08-01,5828
2000-09-01,5457
2000-10-01,5290
2000-11-01,5037
2000-12-01,4844
2001-01-01,4510
2001-02-01,4448
2001-03-01,5187
2001-04-01,5104
2001-05-01,5485
2001-06-01,5447
2001-07-01,5388
2001-08-01,5720
2001-09-01,4910
2001-10-01,5312
2001-11-01,4940
2001-12-01,4641
2002-01-01,4766
2002-02-01,4618
2002-03-01,5115
2002-04-01,5372
2002-05-01,5532
2002-06-01,5423
2002-07-01,5670
2002-08-01,5766
2002-09-01,5119
2002-10-01,5506
2002-11-01,4958
2002-12-01,4777
2003-01-01,4770
2003-02-01,4653
2003-03-01,5270
2003-04-01,5428
2003-05-01,5556
2003-06-01,5544
2003-07-01,5836
2003-08-01,5666
2003-09-01,5489
2003-10-01,5722
2003-11-01,5109
2003-12-01,5173
2004-01-01,4911
2004-02-01,5022
2004-03-01,5845
2004-04-01,5678
2004-05-01,5569
2004-06-01,5870
2004-07-01,5901
2004-08-01,5863
2004-09-01,5542
2004-10-01,5616
2004-11-01,5418
2004-12-01,5548
2005-01-01,5181
2005-02-01,5247
2005-03-01,6032
2005-04-01,5941
2005-05-01,5863
2005-06-01,6253
2005-07-01,5975
2005-08-01,6335
2005-09-01,5786
2005-10-01,5822
2005-11-01,5853
2005-12-01,5777
2006-01-01,5490
2006-02-01,5434
2006-03-01,6338
2006-04-01,5893
2006-05-01,6178
2006-06-01,6403
2006-07-01,6182
2006-08-01,6579
2006-09-01,6030
2006-10-01,6195
2006-11-01,5857
2006-12-01,5696
2007-01-01,5537
2007-02-01,5442
2007-03-01,6510
2007-04-01,6070
2007-05-01,6606
2007-06-01,6559
2007-07-01,6478
2007-08-01,6824
2007-09-01,6062
2007-10-01,6744
2007-11-01,6132
2007-12-01,5771
2008-01-01,5674
2008-02-01,5825
2008-03-01,6293
2008-04-01,6400
2008-05-01,6642
2008-06-01,6685
2008-07-01,6935
2008-08-01,6588
2008-09-01,6368
2008-10-01,6733
2008-11-01,6023
2008-12-01,6152
2009-01-01,5751
2009-02-01,5723
2009-03-01,6391
2009-04-01,6390
2009-05-01,6318
2009-06-01,6645
2009-07-01,6567
2009-08-01,6371
2009-09-01,6112
2009-10-01,6409
2009-11-01,5667
2009-12-01,5882
2010-01-01,5304
2010-02-01,5609
2010-03-01,6642
2010-04-01,6601
2010-05-01,6451
2010-06-01,6923
2010-07-01,6812
2010-08-01,7047
2010-09-01,6734
2010-10-01,6797
2010-11-01,6505
2010-12-01,6514
2011-01-01,5723
2011-02-01,6044
2011-03-01,7221
2011-04-01,6764
2011-05-01,6944
2011-06-01,7535
2011-07-01,7086
2011-08-01,7739
2011-09-01,7248
2011-10-01,7144
2011-11-01,6866
2011-12-01,6650
2012-01-01,6323
2012-02-01,6707
2012-03-01,7343
2012-04-01,6899
2012-05-01,7307
2012-06-01,7296
2012-07-01,7234
2012-08-01,7554
2012-09-01,6850
2012-10-01,7446
2012-11-01,6819
2012-12-01,6357
2013-01-01,6385
2013-02-01,6500
2013-03-01,7131
2013-04-01,7116
2013-05-01,7457
2013-06-01,7185
2013-07-01,7467
2013-08-01,7706
2013-09-01,6975
2013-10-01,7741
2013-11-01,7075
2013-12-01,6791
2014-01-01,6642
2014-02-01,6704
2014-03-01,7482
2014-04-01,7433
2014-05-01,7488
2014-06-01,7307
2014-07-01,7560
2014-08-01,7477
2014-09-01,7183
2014-10-01,7637
2014-11-01,7147
2014-12-01,6748
2015-01-01,6650
2015-02-01,6754
2015-03-01,7741
2015-04-01,7718
2015-05-01,7684
2015-06-01,8085
2015-07-01,8212
2015-08-01,7863
2015-09-01,7611
2015-10-01,7962
2015-11-01,7348
2015-12-01,7269
2016-01-01,6924
2016-02-01,7306
2016-03-01,8179
2016-04-01,7675
2016-05-01,7792
2016-06-01,8166
2016-07-01,7751
2016-08-01,8219
2016-09-01,7696
2016-10-01,7797
2016-11-01,7472
2016-12-01,7676
2017-01-01,7019
2017-02-01,6933
2017-03-01,8365
2017-04-01,7681
2017-05-01,8140
2017-06-01,8153
2017-07-01,7906
2017-08-01,8275
2017-09-01,7828
2017-10-01,7955
2017-11-01,7774
2017-12-01,7414
2018-01-01,7238
2018-02-01,7025
2018-03-01,8315
2018-04-01,7767
2018-05-01,8383
2018-06-01,8200
2018-07-01,8206
2018-08-01,8519
2018-09-01,7764
2018-10-01,8440
2018-11-01,7873
2018-12-01,7217
2019-01-01,7258
2019-02-01,7155
2019-03-01,8421
2019-04-01,8276
